#Overview of data in ClinVar by gene, dated March 2, 2020
#Symbol	GeneID	Total_submissions	Total_alleles	Submissions_reporting_this_gene	Alleles_reported_Pathogenic_Likely_pathogenic	Gene_MIM_number	Number_uncertain	Number_with_conflicts
LOC116309138	116309138	89	85	-	-	-	2	0
LOC116309139	116309139	89	85	-	-	-	2	0
LOC116309142	116309142	89	85	-	-	-	2	0
LOC116309143	116309143	89	85	-	-	-	2	0
LOC116309144	116309144	90	86	-	-	-	3	0
LOC116309145	116309145	89	85	-	-	-	2	0
LOC116309146	116309146	89	85	-	-	-	2	0
LOC116309147	116309147	86	82	-	-	-	1	0
LOC116309148	116309148	80	76	-	-	-	1	0
LOC116309149	116309149	88	84	-	-	-	3	0
LOC116309150	116309150	88	84	-	-	-	3	0
LOC116309151	116309151	79	75	-	-	-	1	0
LOC116309152	116309152	84	80	-	-	-	-	-
LOC116309153	116309153	85	81	-	-	-	1	0
LOC116309154	116309154	86	82	-	-	-	1	0
LOC116309155	116309155	86	82	-	-	-	1	0
LOC116309156	116309156	70	66	-	-	-	-	-
LOC116309157	116309157	84	80	-	-	-	-	-
LOC116309158	116309158	84	80	-	-	-	-	-
LOC116309159	116309159	84	80	-	-	-	-	-
LOC116309160	116309160	88	84	-	-	-	-	-
LOC116309161	116309161	115	111	-	-	-	1	0
LOC116309162	116309162	120	116	-	-	-	-	-
LOC143666	143666	8	8	-	-	-	-	-
LOC145474	145474	5	5	-	-	-	2	0
LOC145694	145694	3	3	-	-	-	-	-
LOC145783	145783	2	2	-	-	-	-	-
LOC145845	145845	9	9	-	-	-	1	0
LOC148696	148696	6	6	-	-	-	-	-
LOC149373	149373	19	19	-	-	-	5	0
LOC149684	149684	4	4	-	-	-	-	-
LOC150051	150051	39	34	-	-	-	1	0
LOC150935	150935	41	41	-	-	-	1	0
LOC152048	152048	3	3	-	-	-	-	-
LOC153684	153684	8	8	-	-	-	1	0
LOC153910	153910	3	3	-	-	-	-	-
LOC154449	154449	37	37	-	-	-	3	0
LOC157273	157273	64	64	-	-	-	4	0
LOC158434	158434	22	21	-	1	-	-	-
LOC158435	158435	22	21	-	1	-	-	-
LOC171391	171391	9	9	-	-	-	-	-
LOC200772	200772	49	49	-	-	-	1	0
LOC221946	221946	25	25	-	-	-	3	0
LOC254028	254028	11	11	-	-	-	-	-
LOC254896	254896	41	41	-	-	-	1	0
LOC257396	257396	5	5	-	-	-	1	0
LOC283028	283028	6	6	-	-	-	2	0
LOC283038	283038	25	25	-	-	-	-	-
LOC283045	283045	7	7	-	-	-	1	0
LOC283177	283177	50	50	-	-	-	1	0
LOC283194	283194	3	3	-	1	-	-	-
LOC283214	283214	2	2	-	-	-	-	-
LOC283299	283299	4	4	-	-	-	-	-
LOC283335	283335	5	5	-	-	-	-	-
LOC283387	283387	3	3	-	-	-	-	-
LOC283665	283665	3	3	-	-	-	-	-
LOC283683	283683	92	87	-	1	-	23	0
LOC283710	283710	96	92	-	-	-	21	0
LOC283731	283731	10	10	-	-	-	-	-
LOC283856	283856	3	3	-	-	-	-	-
LOC284009	284009	26	26	-	1	-	1	0
LOC284191	284191	58	58	-	-	-	-	-
LOC284240	284240	74	72	-	-	-	3	0
LOC284241	284241	73	71	-	-	-	2	0
LOC284344	284344	18	18	-	-	-	-	-
LOC284395	284395	4	4	-	-	-	1	0
LOC284412	284412	4	4	-	-	-	1	0
LOC284454	284454	7	7	-	-	-	1	0
LOC284581	284581	4	4	-	-	-	-	-
LOC284788	284788	6	6	-	-	-	-	-
LOC284798	284798	9	9	-	-	-	3	0
LOC284865	284865	190	172	-	-	-	7	0
LOC284898	284898	12	11	-	-	-	2	0
LOC284912	284912	7	6	-	-	-	-	-
LOC284930	284930	41	39	-	1	-	4	0
LOC284933	284933	42	40	-	-	-	3	0
LOC284950	284950	3	3	-	-	-	-	-
LOC285000	285000	9	9	-	-	-	1	0
LOC285095	285095	47	47	-	-	-	5	0
LOC285097	285097	93	85	-	-	-	5	0
LOC285191	285191	49	49	-	-	-	1	0
LOC285593	285593	8	8	-	-	-	-	-
LOC285626	285626	6	6	-	-	-	-	-
LOC285638	285638	14	14	-	-	-	1	0
LOC285762	285762	13	13	-	-	-	1	0
LOC285766	285766	38	38	-	-	-	3	0
LOC285804	285804	36	36	-	-	-	3	0
LOC285819	285819	3	3	-	-	-	1	0
LOC285847	285847	1	1	-	-	-	-	-
LOC285889	285889	44	44	-	-	-	1	0
LOC286083	286083	68	67	-	-	-	10	0
LOC286177	286177	17	17	-	-	-	-	-
LOC286178	286178	18	18	-	-	-	-	-
LOC286359	286359	18	17	-	-	-	-	-
LOC286367	286367	23	22	-	-	-	2	0
LOC286437	286437	85	81	-	-	-	-	-
LOC338694	338694	3	3	-	-	-	-	-
LOC339059	339059	24	24	-	-	-	-	-
LOC339166	339166	13	13	-	-	-	2	0
LOC339192	339192	5	5	-	-	-	1	0
LOC339260	339260	5	5	-	-	-	4	0
LOC339298	339298	69	67	-	-	-	1	0
LOC339539	339539	5	5	-	-	-	-	-
LOC339593	339593	12	12	-	-	-	1	0
LOC339666	339666	6	5	-	-	-	-	-
LOC339685	339685	37	36	-	-	-	3	0
LOC339803	339803	11	11	-	-	-	2	0
LOC339862	339862	10	10	-	-	-	2	0
LOC339874	339874	8	8	-	-	-	1	0
LOC339902	339902	6	6	-	-	-	3	0
LOC339975	339975	60	60	-	-	-	9	0
LOC340090	340090	2	2	-	-	-	-	-
LOC340357	340357	45	45	-	1	-	2	0
LOC340512	340512	24	23	-	-	-	3	0
LOC349160	349160	81	63	-	-	-	16	0
LOC375196	375196	4	4	-	-	-	-	-
LOC388282	388282	4	4	-	-	-	-	-
LOC388436	388436	54	54	-	-	-	2	0
LOC388780	388780	13	13	-	-	-	1	0
LOC388813	388813	48	43	-	-	-	1	0
LOC389199	389199	28	28	-	-	-	1	0
LOC389247	389247	46	46	-	-	-	2	0
LOC389602	389602	44	44	-	-	-	1	0
LOC389641	389641	40	40	-	-	-	1	0
LOC389895	389895	99	95	-	-	-	4	0
LOC390877	390877	4	4	-	-	-	1	0
LOC391322	391322	3	3	-	-	-	-	-
LOC399975	399975	35	35	-	-	-	-	-
LOC400499	400499	7	7	-	1	-	-	-
LOC400541	400541	40	40	-	-	-	9	0
LOC400553	400553	22	22	-	-	-	1	0
LOC400622	400622	3	3	-	-	-	1	0
LOC400627	400627	5	5	-	-	-	-	-
LOC400684	400684	8	8	-	-	-	3	0
LOC400706	400706	13	13	-	-	-	3	0
LOC400710	400710	4	4	-	-	-	-	-
LOC400867	400867	44	39	-	-	-	1	0
LOC400940	400940	13	13	-	-	-	-	-
LOC401021	401021	12	12	-	-	-	-	-
LOC401052	401052	23	23	-	-	-	2	0
LOC401176	401176	34	34	-	-	-	-	-
LOC401261	401261	4	4	-	-	-	-	-
LOC401312	401312	16	16	-	-	-	1	0
LOC401324	401324	6	6	-	-	-	-	-
LOC401357	401357	6	6	-	-	-	2	0
LOC401442	401442	64	63	-	-	-	10	0
LOC401463	401463	17	17	-	-	-	1	0
LOC401478	401478	21	21	-	-	-	-	-
LOC401557	401557	26	25	-	-	-	2	0
LOC403312	403312	29	29	-	-	-	-	-
LOC414300	414300	4	4	-	-	-	1	0
LOC439933	439933	3	3	-	-	-	-	-
LOC440084	440084	12	12	-	-	-	-	-
LOC440173	440173	15	14	-	-	-	-	-
LOC440346	440346	38	34	-	-	-	20	0
LOC440896	440896	20	19	-	-	-	-	-
LOC440910	440910	11	10	-	-	-	5	0
LOC440982	440982	4	4	-	1	-	-	-
LOC441052	441052	25	25	-	-	-	1	0
LOC441086	441086	1	1	-	-	-	-	-
LOC441087	441087	1	1	-	-	-	-	-
LOC441155	441155	8	8	-	-	-	2	0
LOC441179	441179	21	21	-	-	-	-	-
LOC441204	441204	12	12	-	-	-	-	-
LOC441242	441242	10	10	-	-	-	1	0
LOC442028	442028	4	4	-	-	-	-	-
LOC442497	442497	23	23	-	-	-	5	0
LOC497256	497256	17	16	-	-	-	1	0
LOC51145	51145	16	15	-	-	-	-	-
LOC550113	550113	6	6	-	-	-	2	0
LOC554223	554223	2	2	-	-	-	-	-
LOC554249	554249	20	19	-	-	-	-	-
LOC574538	574538	27	27	-	-	-	3	0
LOC613206	613206	15	14	-	-	-	-	-
LOC613266	613266	11	11	-	-	-	1	0
LOC642361	642361	5	5	-	-	-	-	-
LOC642366	642366	5	5	-	-	-	1	0
LOC642484	642484	32	30	-	-	-	1	0
LOC642648	642648	33	32	-	1	-	3	0
LOC642846	642846	12	12	-	-	-	-	-
LOC643072	643072	6	6	-	-	-	1	0
LOC643327	643327	28	28	-	1	-	2	0
LOC643339	643339	4	4	-	-	-	1	0
LOC643406	643406	14	14	-	-	-	2	0
LOC643441	643441	4	4	-	-	-	2	0
LOC643542	643542	54	52	-	2	-	3	0
LOC643802	643802	7	7	-	-	-	2	0
LOC643923	643923	3	3	-	-	-	-	-
LOC644090	644090	37	37	-	-	-	2	0
LOC644135	644135	4	4	-	-	-	-	-
LOC644215	644215	3	3	-	-	-	-	-
LOC644285	644285	11	11	-	-	-	-	-
LOC644554	644554	4	4	-	-	-	-	-
LOC644656	644656	5	5	-	-	-	2	0
LOC645177	645177	15	14	-	-	-	3	0
LOC645188	645188	101	97	-	-	-	1	0
LOC645202	645202	86	84	-	-	-	-	-
LOC645485	645485	8	8	-	-	-	-	-
LOC645967	645967	7	7	-	-	-	1	0
LOC646029	646029	2	2	-	-	-	-	-
LOC646471	646471	2	2	-	-	-	1	0
LOC646588	646588	14	14	-	1	-	-	-
LOC646626	646626	3	3	-	-	-	-	-
LOC646736	646736	6	6	-	-	-	-	-
LOC646762	646762	8	8	-	-	-	1	0
LOC646903	646903	3	3	-	-	-	-	-
LOC647070	647070	7	7	-	-	-	-	-
LOC647264	647264	30	30	-	-	-	-	-
LOC648044	648044	9	9	-	-	-	1	0
LOC648987	648987	8	8	-	-	-	1	0
LOC649133	649133	16	16	-	-	-	-	-
LOC651337	651337	87	86	-	1	-	9	0
LOC653160	653160	2	2	-	-	-	-	-
LOC653602	653602	14	14	-	-	-	-	-
LOC654780	654780	56	56	-	-	-	12	0
LOC728095	728095	6	6	-	-	-	2	0
LOC728158	728158	29	29	-	-	-	-	-
LOC728196	728196	9	9	-	-	-	1	0
LOC728392	728392	11	11	-	-	-	2	0
LOC728485	728485	3	3	-	-	-	-	-
LOC728660	728660	98	94	-	-	-	3	0
LOC728673	728673	22	21	-	-	-	-	-
LOC728715	728715	12	12	-	-	-	-	-
LOC728752	728752	3	3	-	-	-	-	-
LOC728755	728755	13	13	-	-	-	1	0
LOC729254	729254	11	11	-	-	-	-	-
LOC729291	729291	10	10	-	-	-	-	-
LOC729296	729296	7	7	-	-	-	-	-
LOC729558	729558	10	10	-	-	-	1	0
LOC729609	729609	85	81	-	-	-	2	0
LOC729652	729652	12	12	-	-	-	3	0
LOC729681	729681	41	41	-	-	-	4	0
LOC729683	729683	3	3	-	-	-	1	0
LOC729732	729732	45	45	-	13	-	2	0
LOC729815	729815	2	2	-	-	-	-	-
LOC729867	729867	4	4	-	-	-	-	-
LOC729870	729870	11	11	-	-	-	1	0
LOC729966	729966	6	6	-	-	-	1	0
LOC729968	729968	8	8	-	-	-	-	-
LOC729970	729970	1	1	-	-	-	-	-
LOC730098	730098	33	31	-	-	-	1	0
LOC730100	730100	33	31	-	20	-	2	0
LOC730101	730101	4	4	-	-	-	-	-
LOC730183	730183	4	4	-	-	-	-	-
LOC730202	730202	18	18	-	-	-	1	0
LOC730234	730234	8	8	-	-	-	-	-
LOC730338	730338	7	7	-	-	-	-	-
LOC731157	731157	14	14	-	-	-	1	0
LOC780529	780529	34	34	-	-	-	-	-
LOC79999	79999	56	56	-	-	-	2	0
LOC90246	90246	6	6	-	-	-	1	0
LOC90784	90784	3	3	-	-	-	-	-
LOC90834	90834	50	48	-	-	-	2	0
LOC91370	91370	10	9	-	-	-	-	-
LOC91450	91450	6	6	-	-	-	1	0
LOC91548	91548	5	5	-	-	-	-	-
LOC93429	93429	3	3	-	-	-	-	-
LOC93463	93463	34	34	-	-	-	2	0
LOH12CR2	503693	13	13	-	-	-	-	-
LONP1	9361	125	120	103	9	605490	15	0
LONP2	83752	25	25	1	-	617774	4	0
LONRF1	91694	81	81	-	13	-	4	0
LONRF2	164832	19	19	1	-	-	4	0
LONRF3	79836	160	156	-	1	-	5	0
LORICRIN	4014	19	18	11	3	152445	1	1
LOX	4015	77	63	44	10	153455	14	0
LOXHD1	125336	914	559	868	36	613072	193	61
LOXL1	4016	35	35	5	-	153456	1	0
LOXL1-AS1	100287616	12	12	-	-	616800	-	-
LOXL2	4017	72	72	4	-	606663	3	0
LOXL3	84695	43	39	9	2	607163	11	0
LOXL4	84171	13	13	-	-	607318	1	0
LPA	4018	33	33	7	2	152200	4	0
LPAR1	1902	38	37	1	-	602282	-	-
LPAR2	9170	17	17	5	-	605110	3	0
LPAR3	23566	16	16	3	-	605106	1	0
LPAR4	2846	137	133	2	-	300086	4	0
LPAR5	57121	41	41	-	-	606926	1	0
LPAR6	10161	81	78	16	9	609239	10	1
LPCAT1	79888	126	126	3	-	610472	5	0
LPCAT2	54947	24	24	3	2	612040	4	0
LPCAT3	10162	45	45	2	-	611950	3	0
LPCAT4	254531	22	22	-	-	612039	3	0
LPGAT1	9926	16	16	1	-	610473	1	0
LPGAT1-AS1	102723727	5	5	-	-	-	-	-
LPIN1	23175	205	170	176	8	605518	71	3
LPIN2	9663	537	402	416	13	605519	155	23
LPIN3	64900	11	11	2	-	605520	-	-
LPL	4023	254	223	185	42	609708	40	4
LPO	4025	21	21	8	1	150205	-	-
LPP	4026	65	65	9	8	600700	7	0
LPP-AS1	100873917	26	26	-	-	-	4	0
LPP-AS2	339929	25	25	-	-	-	3	0
LPXN	9404	6	6	-	-	605390	1	0
LRAT	9227	209	100	180	12	604863	50	0
LRATD1	151354	21	21	-	-	611234	-	-
LRATD2	157638	45	45	1	-	609483	2	0
LRBA	987	529	440	452	38	606453	208	18
LRCH1	23143	45	45	2	1	610368	1	0
LRCH2	57631	162	158	-	1	-	4	0
LRCH3	84859	53	53	-	-	-	9	0
LRCH4	4034	22	22	2	-	-	1	0
LRCOL1	100507055	35	35	-	-	-	6	0
LRFN1	57622	8	8	-	-	612807	-	-
LRFN2	57497	12	12	1	-	612808	-	-
LRFN3	79414	11	11	-	-	612809	1	0
LRFN4	78999	9	9	-	-	612810	1	0
LRFN5	145581	31	31	4	-	612811	8	0
LRG1	116844	18	18	-	-	611289	3	0
LRGUK	136332	39	39	1	1	616478	3	0
LRIF1	55791	13	13	-	-	615354	-	-
LRIG1	26018	28	28	14	-	608868	4	0
LRIG2	9860	54	54	28	7	608869	17	0
LRIG2-DT	100996251	5	5	-	-	-	2	0
LRIG3	121227	16	16	3	-	608870	4	0
LRIT1	26103	37	37	-	-	616103	8	0
LRIT2	340745	38	38	-	-	-	9	0
LRIT3	345193	94	78	83	4	615004	29	3
LRMDA	83938	35	27	23	5	614537	2	2
LRMP	4033	43	42	-	1	602003	5	0
LRP1	4035	99	98	91	1	107770	3	0
LRP1-AS	105751187	6	6	-	-	-	-	-
LRP10	26020	21	21	1	-	609921	3	0
LRP11	84918	17	17	-	-	-	1	0
LRP12	29967	37	37	1	1	618299	3	0
LRP1B	53353	84	84	49	3	608766	16	0
LRP2	4036	684	471	649	27	600073	179	52
LRP2BP	55805	114	114	-	-	-	12	0
LRP3	4037	20	20	2	-	603159	2	0
LRP4	4038	343	282	325	13	604270	131	20
LRP4-AS1	100507401	110	91	-	-	-	52	0
LRP5	4041	366	274	344	63	603506	57	18
LRP5L	91355	44	42	-	-	-	1	0
LRP6	4040	86	86	47	21	603507	12	0
LRP8	7804	32	32	13	-	602600	2	0
LRPAP1	4043	106	106	20	4	104225	4	0
LRPPRC	10128	516	408	491	61	607544	113	24
LRR1	122769	11	11	-	-	609193	1	0
LRRC1	55227	12	12	2	1	608195	1	0
LRRC10	376132	50	50	38	-	610846	17	0
LRRC10B	390205	8	8	-	-	-	2	0
LRRC14	9684	70	70	-	-	-	8	0
LRRC14B	389257	132	132	1	-	-	7	0
LRRC15	131578	43	43	2	-	-	3	0
LRRC17	10234	20	20	-	-	618749	1	0
LRRC18	474354	61	61	-	-	-	16	0
LRRC19	64922	77	75	-	-	-	3	0
LRRC2	79442	17	17	4	1	607180	-	-
LRRC2-AS1	83598	1	1	-	-	-	-	-
LRRC20	55222	16	16	-	-	-	1	0
LRRC23	10233	43	43	-	-	-	2	0
LRRC24	441381	69	69	-	-	-	8	0
LRRC25	126364	14	14	1	-	607518	2	0
LRRC26	389816	60	59	2	-	613505	2	0
LRRC27	80313	90	90	-	-	-	5	0
LRRC28	123355	80	80	-	2	-	9	0
LRRC29	26231	32	32	-	-	-	7	0
LRRC3	81543	82	77	-	-	617620	6	0
LRRC3-DT	100861510	49	44	-	-	-	1	0
LRRC30	339291	107	102	-	-	-	17	0
LRRC31	79782	21	21	-	-	-	1	0
LRRC32	2615	12	12	3	1	137207	-	-
LRRC34	151827	21	21	-	-	-	1	0
LRRC36	55282	31	31	-	-	-	6	0
LRRC37A	9884	51	48	1	-	616555	-	-
LRRC37A2	474170	257	203	-	11	616556	81	0
LRRC37A3	374819	23	23	6	-	616557	2	0
LRRC37B	114659	30	30	-	3	616558	3	0
LRRC38	126755	30	30	-	-	615212	5	0
LRRC39	127495	14	14	1	-	-	1	0
LRRC3B	116135	15	15	1	-	-	-	-
LRRC3C	100505591	10	10	-	-	-	1	0
LRRC3DN	54083	49	44	-	-	-	1	0
LRRC4	64101	29	29	4	-	610486	4	0
LRRC40	55631	26	26	1	-	-	2	0
LRRC41	10489	13	13	3	-	618753	4	0
LRRC42	115353	13	13	-	-	-	3	0
LRRC43	254050	25	25	-	-	-	8	0
LRRC45	201255	32	32	-	-	-	2	0
LRRC46	90506	11	11	-	-	-	3	0
LRRC47	57470	90	90	-	-	-	5	0
LRRC49	54839	16	16	-	1	-	2	0
LRRC4B	94030	12	12	-	-	-	1	0
LRRC4C	57689	33	33	-	4	608817	10	0
LRRC52	440699	19	19	2	-	615218	1	0
LRRC52-AS1	400794	10	10	-	-	-	1	0
LRRC53	105378803	10	9	-	1	-	2	0
LRRC55	219527	11	11	-	-	615213	3	0
LRRC56	115399	640	247	4	48	618227	70	0
LRRC57	255252	9	9	-	-	-	1	0
LRRC58	116064	19	19	-	-	-	3	0
LRRC59	55379	11	11	-	-	614854	-	-
LRRC6	23639	150	118	104	12	614930	33	5
LRRC61	65999	58	58	-	1	-	4	0
LRRC63	220416	42	42	-	-	-	-	-
LRRC66	339977	14	14	1	-	-	1	0
LRRC69	100130742	36	36	-	-	-	2	0
LRRC7	57554	27	27	1	-	614453	3	0
LRRC7-AS1	105378792	11	11	-	-	-	2	0
LRRC70	100130733	21	21	-	-	-	9	0
LRRC71	149499	8	8	-	-	-	-	-
LRRC72	100506049	37	37	-	-	-	3	0
LRRC73	221424	10	10	-	-	-	-	-
LRRC74A	145497	24	24	3	-	-	4	0
LRRC74B	400891	186	169	1	2	-	21	0
LRRC75A	388341	35	35	1	-	-	5	0
LRRC75B	388886	68	67	-	-	-	26	0
LRRC8A	56262	78	72	34	3	608360	6	0
LRRC8B	23507	17	17	6	-	612888	2	0
LRRC8C	84230	13	13	3	-	612889	2	0
LRRC8C-DT	400761	1	1	-	-	-	-	-
LRRC8D	55144	11	11	-	-	612890	3	0
LRRC8E	80131	10	10	4	-	612891	-	-
LRRC9	341883	6	6	-	-	-	-	-
LRRCC1	85444	38	38	6	1	617791	4	0
LRRD1	401387	15	15	-	-	-	4	0
LRRFIP1	9208	77	77	1	1	603256	7	0
LRRFIP2	9209	17	17	3	2	614043	1	0
LRRIQ1	84125	21	21	-	1	-	5	0
LRRIQ3	127255	33	33	6	-	617957	5	0
LRRIQ4	344657	21	21	-	-	-	1	0
LRRK1	79705	108	108	23	1	610986	13	0
LRRK2	120892	454	323	433	12	609007	184	10
LRRN1	57633	83	83	10	-	-	6	0
LRRN2	10446	11	11	1	-	605492	-	-
LRRN3	54674	32	32	4	-	-	7	0
LRRN4	164312	29	29	-	-	-	-	-
LRRN4CL	221091	10	10	-	-	-	2	0
LRRTM1	347730	22	22	1	-	610867	7	0
LRRTM2	26045	23	23	-	1	610868	5	0
LRRTM3	347731	24	24	-	-	610869	5	0
LRRTM4	80059	34	34	1	1	610870	15	0
LRRTM4-AS1	101927907	3	3	-	-	-	1	0
LRSAM1	90678	424	341	382	22	610933	135	19
LRTM1	57408	15	15	6	-	-	1	0
LRTM2	654429	71	71	-	-	-	11	0
LRTOMT	220074	132	105	124	9	612414	64	6
LRWD1	222229	21	21	2	-	615167	1	0
LSAMP	4045	27	27	-	2	603241	6	0
LSAMP-AS1	101926903	13	13	-	-	-	4	0
LSG1	55341	48	48	5	-	610780	5	0
LSINCT5	101234261	58	58	-	-	615764	1	0
LSM1	27257	50	50	1	-	607281	6	0
LSM10	84967	11	11	-	-	617909	2	0
LSM11	134353	17	17	-	-	617910	1	0
LSM12	124801	10	10	-	-	611793	-	-
LSM14A	26065	17	17	-	-	610677	1	0
LSM14B	149986	19	19	-	-	-	3	0
LSM2	57819	9	9	-	-	607282	2	0
LSM3	27258	21	21	1	-	607283	-	-
LSM4	25804	13	13	-	-	607284	2	0
LSM5	23658	18	18	-	-	607285	-	-
LSM6	11157	24	24	-	-	607286	2	0
LSM7	51690	19	19	-	-	607287	4	0
LSM8	51691	24	24	1	1	607288	1	0
LSMEM1	286006	31	31	-	-	-	9	0
LSMEM2	132228	8	8	-	-	-	1	0
LSP1	4046	24	24	-	-	153432	1	0
LSR	51599	20	20	2	-	616582	4	0
LSS	4047	134	128	29	9	600909	7	0
LST1	7940	9	9	-	-	109170	2	0
LTA	4049	13	12	4	-	153440	2	0
LTA4H	4048	17	17	6	-	151570	1	0
LTB	4050	11	11	2	-	600978	2	0
LTB4R	1241	22	22	2	-	601531	1	0
LTB4R2	56413	23	23	3	-	605773	1	0
LTBP1	4052	40	39	15	-	150390	-	-
LTBP2	4053	342	212	326	21	602091	83	14
LTBP3	4054	88	83	77	14	602090	15	3
LTBP4	8425	305	210	286	12	604710	57	12
LTBR	4055	64	57	9	-	600979	2	0
LTC4S	4056	45	45	3	-	246530	10	0
LTF	4057	16	16	9	-	150210	-	-
LTK	4058	14	14	3	-	151520	2	0
LTN1	26046	63	58	4	-	613083	4	0
LTO1	220064	8	8	1	-	607224	1	0
LTV1	84946	16	16	3	-	-	-	-
LUADT1	106182249	5	5	-	-	-	-	-
LUARIS	100506895	11	11	-	-	618172	1	0
LUC7L	55692	53	53	-	-	607782	12	0
LUC7L2	51631	41	41	-	1	613056	4	0
LUC7L3	51747	12	12	1	-	609434	-	-
LUCAT1	100505994	22	22	-	-	618190	1	0
LUM	4060	17	17	-	-	600616	5	0
LUNAR1	104564224	37	37	-	-	-	7	0
LURAP1	541468	13	13	1	-	616129	5	0
LURAP1L	286343	115	113	-	-	616130	4	0
LURAP1L-AS1	101929467	123	102	-	8	-	19	0
LUZP1	7798	11	11	3	-	601422	3	0
LUZP2	338645	30	30	-	1	608178	3	0
LUZP4	51213	162	158	1	-	300616	3	0
LUZP6	767558	33	33	-	-	611050	2	0
LVRN	206338	31	31	3	-	610046	1	0
LXN	56925	32	32	6	-	609305	7	0
LY6D	8581	47	47	-	-	606204	3	0
LY6E	4061	51	51	4	-	601384	1	0
LY6E-DT	100133669	23	23	-	-	-	-	-
LY6G5B	58496	10	10	1	-	610433	2	0
LY6G5C	80741	9	9	-	-	610434	2	0
LY6G6C	80740	10	10	1	-	610435	2	0
LY6G6D	58530	9	9	-	-	606038	2	0
LY6G6F	259215	10	10	1	-	611404	2	0
LY6G6F-LY6G6D	110599563	2	2	-	-	-	-	-
LY6H	4062	46	46	-	-	603625	1	0
LY6K	54742	44	44	-	-	615093	2	0
LY6L	101928108	23	23	-	-	-	-	-
LY75	4065	31	31	11	-	604524	6	0
LY75-CD302	100526664	31	31	-	-	-	6	0
LY86	9450	36	36	2	-	605241	1	0
LY86-AS1	285780	19	19	-	-	-	1	0
LY9	4063	17	17	3	-	600684	3	0
LY96	23643	27	27	-	-	605243	3	0
LYAR	55646	74	74	-	-	617684	3	0
LYG1	129530	25	25	-	-	-	3	0
LYG2	254773	25	25	-	-	616547	3	0
LYL1	4066	24	24	-	-	151440	3	0
LYN	4067	38	38	3	-	165120	3	0
LYNX1	66004	48	48	1	-	606110	3	0
LYNX1-SLURP2	111188157	25	25	1	-	-	-	-
LYPD1	116372	17	16	-	-	610450	3	0
LYPD2	137797	46	46	-	-	-	3	0
LYPD3	27076	17	17	3	-	609484	5	0
LYPD4	147719	8	8	-	-	-	-	-
LYPD5	284348	12	12	1	-	-	3	0
LYPD6	130574	17	17	1	-	613359	1	0
LYPD6B	130576	18	18	-	1	-	3	0
LYPD8	646627	71	71	-	-	617067	3	0
LYPLA1	10434	27	27	1	-	605599	4	0
LYPLA2	11313	8	8	-	-	616143	3	0
LYPLAL1	127018	29	29	2	1	616548	2	0
LYPLAL1-AS1	102723886	12	12	-	-	-	1	0
LYPLAL1-DT	643723	13	13	-	-	-	1	0
LYRM1	57149	21	21	1	-	614709	6	0
LYRM2	57226	24	24	-	-	-	6	0
LYRM4	57128	87	85	23	4	613311	15	0
LYRM4-AS1	100129461	36	36	-	2	-	-	-
LYRM7	90624	42	38	22	7	615831	2	0
LYRM9	201229	11	11	-	-	-	2	0
LYSMD1	388695	12	12	-	-	-	-	-
LYSMD2	256586	18	18	-	-	-	2	0
LYSMD3	116068	26	26	3	-	-	2	0
LYSMD4	145748	72	72	-	-	-	3	0
LYST	1130	770	585	723	52	606897	268	45
LYVE1	10894	13	13	-	-	605702	-	-
LYZ	4069	44	44	34	5	153450	12	0
LYZL1	84569	14	14	2	-	-	-	-
LYZL2	119180	9	9	-	-	612748	1	0
LYZL4	131375	9	9	1	-	612750	1	0
LYZL6	57151	8	8	-	-	612751	2	0
LZIC	84328	32	32	-	-	610458	6	0
LZTFL1	54585	25	23	14	6	606568	4	0
LZTR1	8216	649	578	273	54	600574	108	4
LZTS1	11178	72	72	4	2	606551	5	0
LZTS1-AS1	100874051	40	40	-	-	-	-	-
LZTS2	84445	15	15	1	-	610454	-	-
LZTS3	9762	31	31	-	-	610484	6	0
M1AP	130951	19	19	5	1	-	5	0
M6PR	4074	37	37	-	-	154540	4	0
MAB21L1	4081	53	53	6	6	601280	2	0
MAB21L2	10586	43	38	17	6	604357	7	0
MAB21L3	126868	12	12	-	-	-	2	0
MAB21L4	79919	88	88	-	-	-	6	0
MACC1	346389	34	34	-	1	612646	4	0
MACC1-AS1	100874041	18	18	-	-	-	2	0
MACF1	23499	60	52	43	9	608271	15	1
MACIR	90355	28	28	-	-	616608	6	0
MACO1	55219	13	13	-	-	610301	3	0
MACORIS	101929951	2	2	-	-	-	-	-
MACROD1	28992	58	56	-	-	610400	25	0
MACROD2	140733	126	126	7	6	611567	25	0
MACROD2-AS1	100379174	23	23	-	-	-	5	0
MACROD2-IT1	140848	14	14	-	1	-	4	0
MACROH2A1	9555	22	22	4	1	610054	1	0
MACROH2A2	55506	16	16	2	-	616141	1	0
MAD1L1	8379	80	80	8	6	602686	16	0
MAD2L1	4085	19	19	1	-	601467	2	0
MAD2L1BP	9587	12	12	1	-	618136	1	0
MAD2L2	10459	52	52	12	1	604094	6	0
MADCAM1	8174	41	41	-	-	102670	2	0
MADD	8567	31	30	13	2	603584	6	1
MADD-AS1	101928943	12	12	-	-	-	-	-
MAEA	10296	121	121	2	1	606801	13	0
MAEL	84944	20	20	2	-	611368	1	0
MAF	4094	185	147	45	23	177075	44	0
MAF1	84232	52	52	-	-	610210	5	0
MAFA	389692	49	48	2	1	610303	2	0
